
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   7808 Services                   0      5,984 K
javaw.exe                     9024 Console                    1     50,692 K
MsMpEngCP.exe                 7748 Services                   0     65,876 K
svchost.exe                    372 Services                   0     10,480 K
smartscreen.exe              14320 Console                    1     25,780 K
dllhost.exe                  15196 Console                    1     20,400 K
MiniSearchHost.exe            5980 Console                    1     14,492 K
msedgewebview2.exe            7204 Console                    1     69,436 K
msedgewebview2.exe           13000 Console                    1      8,380 K
msedgewebview2.exe           12692 Console                    1     61,216 K
msedgewebview2.exe           10184 Console                    1     35,268 K
msedgewebview2.exe            9328 Console                    1     20,028 K
msedgewebview2.exe           14768 Console                    1    117,748 K
TabTip.exe                   16712 Console                    1     20,204 K
RuntimeBroker.exe            13320 Console                    1     12,620 K
SystemSettings.exe           11312 Console                    1      1,560 K
UserOOBEBroker.exe           13364 Console                    1     10,212 K
WinStore.App.exe             17132 Console                    1      1,576 K
RuntimeBroker.exe             8304 Console                    1     17,464 K
HxOutlook.exe                 7792 Console                    1      1,588 K
RuntimeBroker.exe            11584 Console                    1     14,528 K
HxTsr.exe                    15268 Console                    1     32,044 K
HxAccounts.exe               16520 Console                    1     24,452 K
dllhost.exe                   5872 Console                    1     13,684 K
chrome.exe                    9412 Console                    1    237,400 K
chrome.exe                   10176 Console                    1      7,812 K
chrome.exe                    7984 Console                    1    204,468 K
chrome.exe                   16000 Console                    1     54,816 K
chrome.exe                   13708 Console                    1     18,636 K
chrome.exe                    4208 Console                    1     59,576 K
chrome.exe                   10360 Console                    1     94,788 K
chrome.exe                    2720 Console                    1     43,288 K
chrome.exe                   11344 Console                    1     27,148 K
chrome.exe                   16360 Console                    1     77,644 K
chrome.exe                    7016 Console                    1     20,276 K
chrome.exe                    1388 Console                    1     42,936 K
chrome.exe                    9900 Console                    1     20,784 K
Microsoft.Photos.exe         17036 Console                    1     25,468 K
RuntimeBroker.exe            14520 Console                    1     33,676 K
chrome.exe                   14216 Console                    1    149,716 K
svchost.exe                  11732 Services                   0      6,260 K
ONENOTE.EXE                  16796 Console                    1    145,216 K
ONENOTEM.EXE                  3248 Console                    1      2,708 K
Code.exe                     12292 Console                    1    117,768 K
Code.exe                      7196 Console                    1     25,036 K
Code.exe                     17396 Console                    1    215,340 K
Code.exe                     16804 Console                    1     41,200 K
Code.exe                     14376 Console                    1     91,540 K
Code.exe                     16956 Console                    1     44,728 K
chrome.exe                   11116 Console                    1    188,376 K
